Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_Abiebrac,SppBiomass_Abiegran,SppBiomass_Acermacr,SppBiomass_Aesccali,SppBiomass_Alnurhom,SppBiomass_Alnurubr,SppBiomass_Arbumenz,SppBiomass_Lithdens,SppBiomass_Pinuatte,SppBiomass_Pinucoul,SppBiomass_Pinulamb,SppBiomass_Pinumono,SppBiomass_Pinupond,SppBiomass_Pinuradi,SppBiomass_Pinusabi,SppBiomass_Platrace,SppBiomass_Popubals,SppBiomass_Pseumacr,SppBiomass_Pseumenz,SppBiomass_Queragri,SppBiomass_Querchry,SppBiomass_Querdoug,SppBiomass_Quergarr,SppBiomass_Querkell,SppBiomass_Querloba,SppBiomass_Querwisl,SppBiomass_Sequsemp,SppBiomass_Umbecali,
0, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, BS1, 1, 1268, 0, 0, 0.00171405716273311, 0.0508068021539634, 0, 0, 1.22946237765652, 2.3736500882952, 0, 0.303513362580669, 0, 0, 0.00727453780851154, 1.90902397384403, 0.00610428089599128, 0.00325600074292733, 0, 0, 0.00487408737654942, 3.15096774236637, 0.713874908651839, 0, 0, 0.126322981686998, 0, 0.368947349512239, 10.7607380342596, 0.723305238158169, 
0, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.00164471269756978, 0.0475088977872553, 0, 0, 0.0950877403198092, 0.000328500906234167, 0.0371347094376392, 0, 0.00352428872816214, 0.0642502371136749, 0, 0, 0.0012512988032271, 0, 1.10743942472539, 1.42639328299445, 0.075544692791957, 0, 0, 0, 0.22128388736073, 0, 0.241577241981125, 
0, BS3, 3, 280318, 0.14062917209379, 0, 0.371879659548971, 0.290400090970581, 0.0604018707743658, 0.101096572437376, 14.7087146476331, 34.3983034163128, 0.0242326038628601, 1.33834068560793, 6.64869859059906E-05, 0.00217182749177212, 0.350764388030515, 4.96403228007844, 0.168985698733414, 0.287409937364138, 0.000789950126809237, 0.000273334729870417, 1.5989031318929, 72.6373406875381, 21.1275969782572, 0.146774749290994, 0.0229850693012483, 1.9357657348745, 0.25637027558649, 14.5772225000894, 71.9060048691777, 21.8813685132837, 
0, BS4, 4, 236621, 0.0542883937129457, 0, 0.734598853167495, 0.396696446529062, 0.104233891654395, 0.00285062635412088, 18.0759299448773, 29.9399372837319, 0.00962444727034726, 1.05890272455042, 0, 0, 0.239332890072355, 0.733179018723683, 0.514022331213288, 0.193332185175786, 0.00106060833541049, 0, 2.03416370941977, 113.936594298342, 5.35483111757086, 0.179999309005059, 0.103068818162197, 2.70379921639939, 0.2356072683511, 26.0471525733098, 174.764035432693, 31.5846917227322, 
0, BS5, 5, 44658, 0.0448983424808267, 0, 0.482235630594788, 0.0783324507081593, 0.0346306858778566, 0.0958868063079712, 15.5889913426644, 28.0999930662081, 0.0842677024770154, 4.06911290784236, 3.57718641008723E-05, 0.000669231197613951, 0.300131902142033, 0.0155858069069681, 0.786188440656229, 0.325450091458311, 0.000332035547065385, 0.000136259261052743, 2.80116418469443, 55.455516355048, 16.825059780619, 0.492746986006648, 0.0148247432396956, 0.859836480904642, 0.326216826554648, 24.1500992697231, 79.5801682656149, 17.3486069295254, 
0, BS6, 6, 713, 0, 0, 0.433095944044801, 0.043477156051914, 0.0159737599013062, 0.909933595804479, 12.2996358135807, 36.7391035981466, 0.297352647380107, 0.205943447343096, 0, 0, 0.0029073413592067, 2.45339812001874, 0.488842890607023, 0.0309344247547808, 0, 0, 12.8422610529007, 31.7084033760082, 20.3473839499004, 0.0230524596793454, 0, 0.0596250131788963, 0.0544392731547523, 0.911337649170179, 95.961713757622, 15.4914298171248, 
0, BS7, 7, 5845, 0.00105966114406406, 0, 0.0238168887749404, 0.000523434142152706, 0.00389710549516898, 0, 0.799662043275336, 1.00710151499413, 0.00360741841680887, 0.0780631946436455, 0, 0, 0.00222632424050259, 6.48469405937032, 0.0868653832591426, 0.0113765677394165, 0, 0, 0.0478823342825022, 20.2644471404285, 0.153264075900062, 0.000829396684318653, 0, 0.0564650888010617, 0.0144920010970534, 0.611336547518715, 9.64450786113739, 1.54611965665662, 
0, BS8, 8, 5963, 0.00447861883997337, 0, 0.079185451618776, 0.0366076943299804, 0.00598980151785314, 0.00625945161137828, 1.66676047071002, 1.46481906306158, 0.00129870616328131, 0.21167460508281, 0, 0, 0.0297272045020987, 0.0152055265998233, 0.378515344207446, 0.0547991988844026, 0, 0, 0.00474594104375972, 14.4710880230282, 3.76159889714422, 0.132999995121435, 0, 0.116401451577201, 0.070743310537471, 0.837384122541121, 6.93463123920239, 2.68527862343156, 
0, BS9, 9, 38501, 0.0215440632129613, 0, 0.159845003613168, 0.173848980275232, 0.0125879896470149, 0.0152343430614097, 6.12393885750433, 6.16816450145622, 0.000739174348521996, 1.82928304547028, 0, 0.000781737669130842, 0.107076171168953, 0.651035839029883, 0.80235706230612, 0.110994200127976, 0, 0, 0.0513199046414777, 32.4419081073554, 7.80803964136854, 0.279813677554768, 0.0267873951151558, 0.432478010015071, 0.197214417722497, 3.64538562083869, 17.9374420395121, 6.04541085886678, 
