FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.66,11.91,19,230,1,Summer,All
91.45,16.24,32,250,1,Summer,All
89.58,18.85,16,340,1,Summer,All
89.26,12.33,32,290,1,Summer,All
86.26,10.99,29,160,1,Summer,All
86.45,13.34,27,270,1,Summer,All
87.55,13.43,32,200,1,Summer,All
85.5,13.17,34,200,1,Summer,All
84.03,14.24,39,250,1,Summer,All
84.93,15.34,35,200,1,Summer,All
86.51,15.68,26,250,1,Summer,All
87.57,12.56,32,230,1,Summer,All
87.62,14.34,23,320,1,Summer,All
85.89,5.79,35,270,1,Spring,All
85.94,7.16,32,250,1,Spring,All
86.78,11.49,29,160,1,Spring,All
88.57,14.05,27,20,1,Spring,All
88.31,18.98,16,70,1,Spring,All
86.95,14.15,29,290,1,Spring,All
91.74,19.28,27,290,1,Spring,All
91.79,23.73,24,110,2,Spring,All
88.91,5.55,48,230,1,Summer,All
87.24,7.32,29,200,1,Summer,All
89.27,12.61,19,360,1,Summer,All
89.32,16.05,16,50,1,Summer,All
90.13,27.17,26,250,2,Summer,All
91.61,31.81,6,230,2,Summer,All
85.15,26.74,37,270,2,Summer,All
85.03,28.5,32,320,2,Summer,All
81.4,21.56,32,180,1,Summer,All
86.11,22.94,21,250,1,Summer,All
93,35.23,21,250,2,Summer,All
93.05,40.42,29,250,3,Summer,All
92,44.85,23,250,3,Summer,All
91.32,48.93,5,250,4,Summer,All
87.3,11.23,24,230,1,Summer,All
88.63,16.14,23,320,1,Summer,All
89.26,19.96,24,320,1,Summer,All
92.13,28.7,14,200,2,Summer,All
91.09,32.31,6,360,2,Summer,All
86.35,33.5,27,340,2,Summer,All
86.84,37.92,16,200,3,Summer,All
86.24,41.72,14,200,3,Summer,All
87.13,12.29,35,270,1,Summer,All
88.17,15.46,32,290,1,Summer,All
87.07,16.88,26,270,1,Summer,All
89.43,20.61,21,250,1,Summer,All
85.34,18.7,48,250,1,Summer,All
85.89,20.46,29,230,1,Summer,All
85.11,15.34,35,270,1,Summer,All
86.29,17,40,250,1,Summer,All
84.99,19.81,34,340,1,Summer,All
85.04,21.13,23,290,1,Summer,All
86.27,23.15,23,230,1,Summer,All
83.23,14.59,56,270,1,Summer,All
86.21,16.39,24,250,1,Summer,All
84.69,8.38,37,270,1,Summer,All
85.96,9.65,31,250,1,Summer,All
86.1,11.77,26,230,1,Summer,All
89.06,12.37,26,180,1,Spring,All
86.97,13.21,37,290,1,Spring,All
84.39,13.82,32,340,1,Spring,All
84.6,19.21,29,250,1,Spring,All
87.4,21.58,23,270,1,Spring,All
91.26,25.21,18,180,2,Spring,All
88.8,27.21,26,360,2,Spring,All
89.43,30.43,16,110,2,Spring,All
93.24,13.44,40,270,1,Spring,All
92.51,16.56,13,230,1,Spring,All
87.54,11.11,39,320,1,Summer,All
89.53,12.06,16,250,1,Summer,All
88.43,14.77,19,270,1,Summer,All
90.52,17.38,32,180,1,Summer,All
87.27,10.26,26,250,1,Summer,All
86.58,12.29,37,250,1,Summer,All
86.79,14.81,37,270,1,Summer,All
87.68,10.66,31,250,1,Summer,All
88.55,13.9,32,270,1,Summer,All
88.58,12.26,21,270,1,Spring,All
92.54,19.05,11,110,1,Spring,All
86.79,13.23,24,160,1,Spring,All
85.87,14.68,26,250,1,Spring,All
90.73,16.07,14,180,1,Spring,All
89.61,19.36,11,70,1,Spring,All
92.83,25.05,24,270,2,Spring,All
92.78,29.91,40,250,2,Spring,All
87.47,25.23,29,250,2,Spring,All
88.94,28.91,19,250,2,Spring,All
93.74,34.87,26,200,2,Spring,All
89.87,36.96,5,360,3,Spring,All
92.6,42.29,35,200,3,Summer,All
90.28,36.63,16,230,3,Summer,All
89.42,23.27,29,270,1,Summer,All
91.94,27.45,24,230,2,Summer,All
90.68,11.34,31,270,1,Summer,All
89.69,19.15,24,270,1,Summer,All
90.83,7.86,19,230,1,Summer,All
90.88,11.49,23,200,1,Summer,All
90.86,9.6,21,180,1,Summer,All
86.86,13.65,27,180,1,Summer,All
86.44,15.6,32,230,1,Summer,All
88.64,21.54,19,50,1,Summer,All
88.69,24.57,27,320,2,Summer,All
88.74,22.01,14,70,1,Summer,All
88.05,23.74,24,180,2,Summer,All
